blockNum,index,txHash,gas,gasPrice,gasTipCap,gasFeeCap,blockAvgGasTip
14577748,2,0x9a0294882c114ab89fe6d8e34307ed4f1b6a54fe2b892f1d8d45c46ac70af26c,500000,102434295097,102434295097,102434295097,13102984776
14577750,51,0x5a2a0ba17e4a0f5045595a93d2f71dbe22306135548c3f6545695a3095ef1cee,500000,88553726943,88553726943,88553726943,30834359008
14577860,173,0x2ba5f37814564d2bc5416d7cc69d9725db6cc9794c968c23aa67650bc1bd66af,500000,47667239923,47667239923,47667239923,24319948745
14577929,253,0x319efc93ff3c980358b8401a91dd52b651448b4fdd3e4e182d4375d12892dd99,400000,81473028723,2000000000,81473028723,20664468204
14578039,116,0x36a8953dc1b5b051498c16ed6e4802e67dc79804b1f425f9dcffdbf211d65842,500000,51588794384,51588794384,51588794384,30300741944
14578043,123,0x473f1970c08d16b09f9cc775e8a900a23c09e6ecdda258329fa6e5e5c1372a2f,500000,100093131907,2000000000,100093131907,28358358773
14578317,273,0x8c49632a3f4d842720c63501e04e1cee718da97eb6f442dc38addb5681d3b594,500000,126593499300,2000000000,126593499300,21227997303
14578333,104,0x811e88185c5a99a15c925f39b6f363301844afffc2759fb19ed2a285f0047efe,500000,155798659444,2000000000,155798659444,9833148318
14578602,84,0x76b2415a817ec5bed452cf13e2c68e84660d390766522292fa375d58ef600d27,500000,57633646346,57633646346,57633646346,11317232635
14578733,465,0x3d95c0790188bf2ffc91309f818b222209ddbbe950c914f162fa17b0f5e1c257,500000,80321888500,2000000000,80321888500,14342910946
14578871,324,0x116b4b4342f27e63f76c4c8e2e40dc7a07ac12a13372a45f9763545c78936a02,500000,76979522364,2000000000,76979522364,14646884811
14579110,16,0x067793498f90c16dbbbe123276161529e8cd1298569ba1df4f166fb0f6f5861e,500000,62000000000,62000000000,62000000000,23518675923
14579112,34,0xa9d30c8cbead5842c496e4f783ca7b267fff08484e35c07ad85964a6e050b2b5,500000,65000000000,65000000000,65000000000,15881965965
14579374,210,0xfd0c41bf68afb7e6097f359a9b09b3f8070d077588b22863c576dc0817001d0b,500000,72246369238,3099903662,72246369238,13002803510
14579398,126,0x6d52b746cc7a7af1cdaedf4bcf8c90630667e70b24d1ab6d3831b7dac0ba2d2e,500000,56734108109,56734108109,56734108109,16110735772
14579706,2,0xa921f300d7d7c9640fb8a07f8c6d41a41e68d620e7b437d91b471f381b514fc4,500000,82639395711,82639395711,82639395711,9601991922
14579872,230,0xaaa556ef79e4b9408200e4d2805623f6e17aacf3d3d6ded823622e48bf1c2c94,500000,94991961696,2000000000,94991961696,10620115183
14579975,25,0x7cb67736021f53028621eafe225639062fc8c98c88f963b70e768fff0e017f5b,500000,64917649554,64917649554,64917649554,10278990328
