blockNum,index,txHash,gas,gasPrice,gasTipCap,gasFeeCap,blockAvgGasTip
14746840,249,0xfe4104906f9c17c0fcf3729c184bc240fe184f1a51d267b4b109d28d66a3ea32,500000,115938395602,1500000000,115938395602,11454941115
14746884,883,0x0ef2b93dc91ab52357507075222be27c67eddffb41788323c4b55e228716875c,500000,137009902910,2000000000,137009902910,23178465686
14746890,112,0xb2de1dff82042e7bd2d5498e6143a26c055eb723f2cc5f80fe24b9eb9e6570bf,500000,204826940884,2478310915,204826940884,16890504514
14746923,135,0x4666948bb271fcbcec2a50913120597b7a7a0eaec6e8a4ca173ba814d1199801,500000,218640123023,2000000000,218640123023,25212626665
14747019,193,0xba4b5a827a8eacbb8e406491acbb4498cca4144414dfcee91bc8a44c2b180136,500000,144760592251,2000000000,144760592251,13262555323
14747088,152,0x176dba28b006d209b4d80dd61b77dcdaa075e66fb1101b8cdb44b8490eb0e0c2,500000,111487059104,5000000000,111487059104,20875535135
14747146,351,0xe4681f050a51e12f818b3afb40ce9118e8d371d4fbfe7edfebaccdae78873834,500000,100063616560,2500000000,100063616560,33578193836
14747154,57,0x2f1fdd77aaf6c2ad87fec539c86eaf9cdc20b7e654ebe5ab02b3f2a72066c2ce,500000,65212072370,65212072370,65212072370,30510869611
14747176,125,0x3d46e0af7b96ebba415d4ae8ebf5a8f584913a743826c7d5571b6743ba095088,500000,62985228967,5244056047,62985228967,21336018225
14747313,218,0xfd2572f507a5c3071c2a3760497eecf34c76df0b5cd41ecc05e4efbcbb4060b4,500000,68703117673,2000000000,68703117673,23967735048
14747401,127,0x82d6fb041d507a795ff1c16e4ef60252a0651e1af070cef121a6063a57f72def,500000,84940954155,2000000000,84940954155,12764884858
14747427,436,0x3ec1d6776ebf66e3346b0a070d6824105ec281068ea1b723fda912910f4bc3c1,500000,124868647323,1500000000,124868647323,17210355705
14747536,150,0x5153548c08ee2af9eb045a13f7099efc8510ba9c85f8dab1c35b283cce52616b,500000,148854378244,2000000000,148854378244,13410122497
14747664,30,0xbf6ee8157e0ffb75d3be11ab715994274dbe22224db82c71b7e090200568e801,500000,41723121816,41723121816,41723121816,17002742951
14747797,48,0x82891bf2bfca7af29748a43eae4cc756c82be60f1b83f9a01b505d6221948b1c,500000,200541381284,2000000000,200541381284,7561935767
14747843,121,0x8254c02247d9c966b516d43ac0ca5b5503670bc64b3c2898e2e286740a032fc3,500000,110519802680,4361373554,110519802680,26504641687
14747905,477,0x331bd5886076407cb562ecbc0b0c472d603201ef22aa48e7b334bda8b0bfe2de,500000,52906165656,2000000000,52906165656,25053584318
14748157,198,0x74df9a4dd7eba1dc4cef954ee650fd9b02475dc5777b46c76a66dc3d26175fb5,500000,59579217947,2000000000,59579217947,9162076052
14748272,57,0x0e89abc8d14a07e896ebf4870a105f831f2e5b5456e4d01f1ff643930daded89,500000,48224827399,2000000000,48224827399,10145751107
14748360,142,0x855d8c46f3dcc9d4ccb6ebf14a1e3bbe275dcec7d1313345c9add903c3034962,500000,82452489502,2500000000,82452489502,13805209247
14748415,441,0x797db17cbf5fa44761471d4ca30c1758a45b55446d9848cd23b6811e53a27250,500000,80575403582,2000000000,80575403582,19821901922
14748559,224,0x0e302b2bacfee6390fc5e8ecdfccce470a494b3074165e7746c17e9acbdba240,500000,56043791059,2028759108,56043791059,17365632911
14748607,171,0xb7e1c9670129f112781ac9de8bf00312d434a6977449d9a28dc6148a8e5de581,500000,132593512043,2500000000,132593512043,14602097322
14748693,582,0xecdb4f676c7a20b86f3d42b423e4f35baf144a22120d669a839947ca0b89a03e,500000,74090891907,2000000000,74090891907,23541200261
14748709,30,0xfebb94eb8d198ece12357f6c9424c847aa12648366ae2ddd8888bda9cbc7e63b,500000,54722079521,54722079521,54722079521,14071351093
14748710,29,0xc72e4d7939bd8c3aa7e21552097065185b13beea8711c744800080531262bcd6,500000,56347720558,2500000000,56347720558,11924977225
14748736,170,0x9a6543f6d9197068866b94ebbb8792d15e55c1b2210e5016e70db18c5683c0fc,500000,189512625720,2500000000,189512625720,9823187213
14748789,239,0x1b944b4a361624e013f6a1c4c1a4abdba2eba4203bbc4dd900101c25d0ff6ff9,500000,78965456438,2000000000,78965456438,28392429074
14748877,47,0xbea220779b5138b4d262917c21b7c203ae0ea70cb15b16d753c23d4c782cd501,500000,58741504127,58741504127,58741504127,13488028561
14748921,14,0xe71f931d71c1a59f965e952698cd056386d34ac9af749c191fd1330315b78ed2,500000,160791761186,2000000000,160791761186,10245492865
14748960,453,0xcab4b15f76a95b80ab6bafcbac5bb65dae9061006bc6c2da2fd9ad864e30f19f,500000,100000000000,1,100000000000,21428227156
14749002,72,0xd6ffe5cea9e89ff089806611a56d93ff73094b57a259856f60c4557c01bc627f,500000,60923541977,60923541977,60923541977,22715916055
14749027,103,0xa9ca6137b1cb565c2c2d357e4821bcc73547fbfce5d03210e4a09ef62e358c59,500000,140981033307,2000000000,140981033307,27659812443
14749083,177,0xbaad4130e02f0eeeebf2a5a9236bde4c222a60328c5751a6c068ecb0dae0d141,500000,169986643364,2000000000,169986643364,17776668465
14749130,96,0xdba656e9d2d5bcd54252a12692e99acb035a34d8b8708b3e3e457c272516e078,500000,79962077122,2000000000,79962077122,21728344590
14749167,3976,0xe45f916910daaf24535c12f39a8134d3318c4b233365e23aa51953fb8ba3c0a3,500000,175953659585,1500000000,175953659585,26901880967
14749181,283,0xe602730507e06fc18ec9c39359af9b1f3e190580ccf683f6eb757eb0da395489,500000,98340769927,2000000000,98340769927,38167205686
14749195,318,0xeee78b02a489e49dcfc3018ea2910380a9d72c9e897bf9db63afac28056afc5f,500000,107775445414,2000000000,107775445414,84940124308
14749199,93,0x8cbd01ae2ade69b76103f3f0c3b90b02fa5d132f75b43194225645e088fe73c7,500000,322060338153,2485503087,322060338153,46468477085
14749271,14,0xa40119704c6339f6cdd831d450e49794b293ed1eca4d3a8b02ea1edfe3f8b7cf,500000,93751863882,2500000000,93751863882,38600540673
14749289,577,0xc4194b79a2c8d931365a4b6755a5fc21bb927c94b29700ddbe7234f784a95f3d,500000,75313473698,2500000000,75313473698,50289798741
14749385,71,0x680b42a76ea0aa24bbc15a500fc5951e9509a75aa7ea9f5111632cdcdce2b817,500000,92159559340,16487463186,92159559340,21133428435
14749402,258,0xdcdb1065ecad8f6538380865527cf0deb4eba8f5ca77e46bd160e4033e931633,500000,250313201381,2500000000,250313201381,41419121655
14749417,63,0x5e532cb61e85226b6f54bff5e8df299eb15f4747e0fff68fa346aad098fb4987,500000,72098715652,72098715652,72098715652,31490433972
14749462,84,0x86d2144a1676ef5c5d77cfcfa97a9fcef4cbb84319580aa033f9877bb7d6f507,500000,154572976676,7000000000,154572976676,20214051122
14749488,286,0xae5220b1c3080071cac4078b4e6494591bb852222c9c5488fdf019ba162a7e0f,500000,167907477471,2000000000,167907477471,18022029481
14749624,311,0x980a69bdad27f2060cd288d24379863d2279c3c6886dbe6c915a754eae364ce4,500000,79359816392,1500000000,79359816392,17844635401
14749633,270,0x7ab437c260cab21bacc18b3424039d6e8ec73a490f46a276fdc3be5d685763f2,500000,175140518653,2500000000,175140518653,25116056604
14749673,201,0xa5d6c3ab36bce1e4cd2734b59b50360d0899802f0878025c5b6bb8a650242450,500000,95075125691,1500000000,95075125691,34919035075
14749709,22,0x37672c37a03f8be4c45d027b9c39992abdbb2b73da1c3b6be045bb9cd8b4a3e6,500000,64815454299,6000000000,64815454299,25684354306
14749737,83,0xe51a7d96297625c66a2556b073603da1dc7e1240b7680631ff3b5cd9fb2a0dbd,500000,62616465680,62616465680,62616465680,17426861820
14749845,22,0xae80d866d9b5bc0d4ecdcf9afc9979ccd22c25d661ca92cc5e814983d8591875,500000,174053243390,2056925262,174053243390,3536692524
14749864,71,0xb898f0238f453887adc57c366855fb67efedd3ba0ac203dddb00ecae8c5a6410,500000,69313278212,69313278212,69313278212,42074144049
14749880,69,0x07c427ac65ec7c4d2be0651530c026a8f8ae2fc80cfaae4f358809e4396d2810,500000,119140925615,2500000000,119140925615,2631445762
14749965,111,0x15a3e3ed29f81087cfe874f67a88ef04b326ed804911ca05e9a895fee09a5258,500000,118410745598,2000000000,118410745598,9835862439
14750007,323,0x2f7c79c75d976bdb36c73d25501f71a4ed1d9dae797f3bec2792c2f399cfdad7,500000,150584464751,2000000000,150584464751,9303465715
14750234,191,0x428ccc75b5bdcbae7e68bc649180161094876660ced9f3c722ff41d12972cdb4,500000,74898854046,2000000000,74898854046,15854296575
14750346,299,0x3d57dce1593c5d862dcb40b4ae99fe95e3c3318a51128a4a96654c75ad1ffddb,400000,43188686825,2000000000,43188686825,12124300256
14750379,170,0xee89863ac278010b77201c70a0014857b4209664343abb65dc16be07daf93491,500000,116281487138,2000000000,116281487138,11306750106
14750446,379,0xe1664ec32d1684757703ae00312f061f6d13b3303faca698bbd7774b443787c3,500000,51841679985,2000000000,51841679985,9548541348
14750507,157,0xc764818bf6d482f6c4f0a8fe872252d70cd5d9c6431dbf7a732f2d9f471e170b,500000,105192101241,2000000000,105192101241,14543336777
14750677,617,0xa4b3aba4876d7d2f455f4cc522e4f9d12ab39aece05d433c594f775a0b9a3001,500000,61486661542,1500000000,61486661542,13207968707
14750760,14,0x9e514c5a43c564604b4a2835dfd594683e0627bba5d549afc8b5c40825593b46,500000,135804333028,2000000000,135804333028,5014451737
