blockNum,index,txHash,gas,gasPrice,gasTipCap,gasFeeCap,blockAvgGasTip
14696482,302,0xf90c68b49cdd0107c7d73921b664847bacf9398e3fde133ff2afd3d35c71377d,200000,74809155360,1000000000,74809155360,2228948882
14697426,567,0x6eb23582a1def0d674f886375cde79a65ac6a908f1c0b7419464a917e3962821,200000,82801494678,1000000000,82801494678,2224467627
14698355,312,0x5bce5b95e34b8dc8fcecb1b769d908339ad60c6a68c706620591a8832909b847,200000,141870095878,1000000000,141870095878,1978458101
14699396,106,0x09106055e4c2ac4a7e004f110474d6789576c9cd12ae26510c515dc9655429d9,200000,109674301204,1000000001,109674301204,9415748694
14700307,190,0xbe68237fc69333b1ac733150f1449078e01ae3883d30eee1cec726121b0bb604,200000,155786731228,1217674630,155786731228,6387848629
14701298,297,0xc370680381ba5cf55d4a598ea16f7d1595ec66340ca74c0ac52185e1388eded1,200000,102088097738,1500000000,102088097738,5988937374
14702248,161,0xc7eef27b24f2617bfa2c120522d73eff687b10be61a075380bdade73a75d98a2,200000,309952630336,1500000000,309952630336,27303615463
14703184,250,0x78794a6329b02ad0a7efa69bdc4b505a673e22281870915d40fc21c658cce6da,200000,102537714232,1210002201,102537714232,38009560915
14704144,64,0xef86204bae9353edb7dead72465bb915712b9109a7581164e38f96a53400e321,200000,90277938158,1000000000,90277938158,8016441066
14705098,20,0xe723a225e55209ceec2a00387a6d031f7c009b250a916408aab5f22ec45012d6,200000,121350757894,1000000000,121350757894,28650267957
14706076,356,0xc25fa73eb1698fd1348c1457edec5dbd475a9f21048812b0854ae7010faca8c4,200000,110778910684,1000000000,110778910684,7607402984
14707050,448,0xadfd89ae9f330470d07c1a4d18b597140ee20acf24edae1ccc7e9463b6335327,200000,108921497854,1000000000,108921497854,11241766415
14707986,470,0xfe3bccb857f1e9bef11688c39b0251be385ceac48a6c0068b514a2fdf598e1d7,200000,71645577332,1000000000,71645577332,11652711706
14708920,285,0xec71c6053a341a886e773c8f2990e1491fd3b0fa218f56180cff29b508a81b60,200000,122512859924,1000000000,122512859924,6254042594
14709856,138,0x5a9a57be53cca98f820fa71eff353f43a4bbdc1aec9006676fe7442b9305c9bb,200000,71907363568,1000000000,71907363568,1293557026
14710820,399,0x3541fa6a126540ca0ead3e0422c8809dc8614fe8c5af61d07758ecf788e8b05a,200000,102937955470,1000000000,102937955470,12117321915
14711785,585,0x3bb44692ee0419f9aa3d1bacc78808a3dc49c4dbd1d88f7d780f0af88c58f7d8,200000,83739543606,1000000000,83739543606,6594676712
14712640,631,0x4ad053a3bc7d83c98533e20f9fb11bfd84a2dad3101b9f3224f88ffb61c2b98e,200000,177350184888,1000000001,177350184888,6358192392
14713586,415,0xf04d8ec9ba12385479ec2b6100c955c674a64696cf7f371a84891b771124ee95,200000,84514495042,1000000001,84514495042,17810367531
